,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
51,Marty Byrnes,SF,22,PHO,43,734,9.4,.545,,.448,7.5,7.2,7.3,10.1,0.9,0.1,22.8,18.1,,0.1,0.5,0.5,.036,,-2.0,-2.0,-4.0,-0.4
52,Marty Byrnes,SF,22,NOJ,36,530,10.6,.498,,.325,7.8,9.5,8.7,10.9,1.0,0.7,17.4,16.5,,0.1,0.3,0.4,.032,,-1.3,-1.3,-2.7,-0.1
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Corky Calhoun,SF,28,IND,81,1332,9.9,.507,,.257,4.9,13.4,9.2,9.9,1.3,0.7,13.1,12.6,,1.1,1.2,2.3,.082,,-2.0,0.5,-1.5,0.2
55,Austin Carr,SG,30,CLE,82,2714,15.4,.529,,.308,5.9,5.8,5.8,11.4,1.3,0.3,11.7,21.9,,4.5,0.5,5.0,.088,,1.0,-1.7,-0.7,0.9
56,Kenny Carr,PF,23,LAL,72,1149,12.6,.522,,.304,7.0,19.9,13.8,6.8,1.5,1.4,18.5,21.8,,-0.4,1.5,1.1,.046,,-2.8,-0.7,-3.5,-0.4
57,M.L. Carr,SF,28,DET,80,3207,16.3,.561,,.381,6.9,12.4,9.5,10.8,2.8,0.7,16.0,18.9,,4.5,3.4,7.9,.118,,0.6,0.8,1.4,2.8
58,Ron Carter,SG,22,LAL,46,332,9.3,.487,,.435,7.3,7.4,7.4,9.4,2.3,1.1,21.3,22.6,,-0.3,0.3,0.0,-0.002,,-4.1,-0.7,-4.8,-0.3
59,Harvey Catchings,C,27,TOT,57,948,11.1,.476,,.321,11.0,22.5,16.7,6.5,1.1,5.1,24.1,14.6,,-0.6,1.7,1.1,.058,,-3.3,1.5,-1.8,0.1
60,Harvey Catchings,C,27,PHI,25,289,9.9,.457,,.250,11.2,23.5,17.6,7.7,1.2,6.3,32.9,15.2,,-0.5,0.6,0.1,.021,,-4.5,2.4,-2.1,0.0
61,Harvey Catchings,C,27,NJN,32,659,11.6,.483,,.349,10.9,22.1,16.3,6.0,1.0,4.6,20.2,14.4,,0.0,1.1,1.0,.074,,-2.7,1.1,-1.6,0.1
